日付,銘柄名,symbol,業種,TOPIXに占める個別銘柄のウェイト,ニューインデックス区分,調整係数対象銘柄
20201230,トーエネック,1946,建設業,0.01%,TOPIX Small 2,○
20201230,住友電設,1949,建設業,0.01%,TOPIX Small 2,
20201230,日本電設,1950,建設業,0.01%,TOPIX Small 1,
20201230,協エクシオ,1951,建設業,0.06%,TOPIX Mid400,
20201230,新日空調,1952,建設業,0.01%,TOPIX Small 2,
20201230,日工営,1954,サービス業,0.01%,TOPIX Small 1,
20201230,九電工,1959,建設業,0.03%,TOPIX Mid400,
20201230,三機工,1961,建設業,0.01%,TOPIX Small 1,
20201230,日揮ＨＤ,1963,建設業,0.04%,TOPIX Mid400,
20201230,中外炉,1964,建設業,0.00%,TOPIX Small 2,
20201230,ヤマト,1967,建設業,0.00%,TOPIX Small 2,
20201230,太平電,1968,建設業,0.01%,TOPIX Small 1,
20201230,高砂熱,1969,建設業,0.02%,TOPIX Small 1,
20201230,三晃金,1972,建設業,0.00%,TOPIX Small 2,
20201230,ＮＥＳＩＣ,1973,情報・通信業,0.02%,TOPIX Small 1,
20201230,朝日工,1975,建設業,0.00%,TOPIX Small 2,
20201230,明星工業,1976,建設業,0.01%,TOPIX Small 2,
20201230,大気社,1979,建設業,0.02%,TOPIX Small 1,
20201230,ダイダン,1980,建設業,0.01%,TOPIX Small 2,○
20201230,日比谷設,1982,建設業,0.01%,TOPIX Small 2,
20201230,日粉,2001,食料品,0.02%,TOPIX Small 1,
20201230,日清粉Ｇ,2002,食料品,0.07%,TOPIX Mid400,
20201230,日東富士,2003,食料品,0.00%,TOPIX Small 2,
20201230,昭和産,2004,食料品,0.01%,TOPIX Small 2,○
20201230,鳥越粉,2009,食料品,0.00%,TOPIX Small 2,
20201230,中部飼料,2053,食料品,0.01%,TOPIX Small 2,
20201230,フィード・ワン,2060,食料品,0.00%,TOPIX Small 2,
20201230,洋糖,2107,食料品,0.00%,TOPIX Small 2,
20201230,甜菜糖,2108,食料品,0.00%,TOPIX Small 2,
20201230,三井製糖,2109,食料品,0.01%,TOPIX Small 1,
20201230,塩水糖,2112,食料品,0.00%,TOPIX Small 2,
20201230,日新製糖,2117,食料品,0.00%,TOPIX Small 2,○
20201230,ＬＩＦＵＬＬ,2120,サービス業,0.00%,TOPIX Small 1,
20201230,ミクシィ,2121,サービス業,0.02%,TOPIX Small 1,○
20201230,ＪＡＣ,2124,サービス業,0.00%,TOPIX Small 2,
20201230,日本Ｍ＆Ａ,2127,サービス業,0.20%,TOPIX Mid400,
20201230,メンバーズ,2130,サービス業,0.00%,TOPIX Small 2,
20201230,中広,2139,サービス業,0.00%,TOPIX Small 2,
20201230,ＵＴグループ,2146,サービス業,0.02%,TOPIX Small 1,
20201230,ＩＴＭ,2148,サービス業,0.00%,TOPIX Small 2,
20201230,タケエイ,2151,サービス業,0.01%,TOPIX Small 2,
20201230,イージェイＨＤ,2153,サービス業,0.00%,TOPIX Small 2,○
20201230,ビーネックスグループ,2154,サービス業,0.01%,TOPIX Small 1,
20201230,コシダカＨＤ,2157,サービス業,0.00%,TOPIX Small 1,
20201230,アルトナー,2163,サービス業,0.00%,TOPIX Small 2,
20201230,パソナグループ,2168,サービス業,0.01%,TOPIX Small 1,
20201230,ＣＤＳ,2169,サービス業,0.00%,TOPIX Small 2,
20201230,ＬＩＮＫ＆Ｍ,2170,サービス業,0.00%,TOPIX Small 2,
20201230,ＧＣＡ,2174,サービス業,0.00%,TOPIX Small 2,
20201230,ＳＭＳ,2175,サービス業,0.05%,TOPIX Mid400,
20201230,サニーサイドアップ,2180,サービス業,0.00%,TOPIX Small 2,
20201230,パーソルＨＤ,2181,サービス業,0.07%,TOPIX Mid400,
20201230,リニカル,2183,サービス業,0.00%,TOPIX Small 2,
20201230,ＣＯＯＫＰＡＤ,2193,サービス業,0.00%,TOPIX Small 1,
20201230,エスクリ,2196,サービス業,0.00%,TOPIX Small 2,
20201230,アイ・ケイ・ケイ,2198,サービス業,0.00%,TOPIX Small 2,
20201230,森永菓,2201,食料品,0.04%,TOPIX Mid400,
20201230,中村屋,2204,食料品,0.00%,TOPIX Small 2,
20201230,グリコ,2206,食料品,0.05%,TOPIX Mid400,
20201230,名糖産,2207,食料品,0.00%,TOPIX Small 2,○
20201230,井村屋Ｇ,2209,食料品,0.01%,TOPIX Small 2,
20201230,不二家,2211,食料品,0.01%,TOPIX Small 2,
20201230,山崎パン,2212,食料品,0.05%,TOPIX Mid400,
20201230,第一パン,2215,食料品,0.00%,TOPIX Small 2,
20201230,モロゾフ,2217,食料品,0.00%,TOPIX Small 2,
20201230,亀田菓,2220,食料品,0.01%,TOPIX Small 1,○
20201230,寿スピリッツ,2222,食料品,0.02%,TOPIX Small 1,
20201230,カルビー,2229,食料品,0.06%,TOPIX Mid400,
20201230,森永乳,2264,食料品,0.04%,TOPIX Mid400,
20201230,六甲バター,2266,食料品,0.00%,TOPIX Small 2,
20201230,ヤクルト,2267,食料品,0.14%,TOPIX Mid400,
20201230,明治ＨＤ,2269,食料品,0.19%,TOPIX Mid400,
20201230,雪印メグ,2270,食料品,0.02%,TOPIX Mid400,
20201230,プリマハム,2281,食料品,0.02%,TOPIX Small 1,
20201230,日ハム,2282,食料品,0.07%,TOPIX Mid400,
20201230,林兼産,2286,食料品,0.00%,TOPIX Small 2,
20201230,丸大食,2288,食料品,0.01%,TOPIX Small 2,
20201230,Ｓ　ＦＯＯＤＳ,2292,食料品,0.01%,TOPIX Small 1,
20201230,柿安本店,2294,食料品,0.00%,TOPIX Small 2,○
20201230,伊藤ハム米久ＨＤ,2296,食料品,0.02%,TOPIX Small 1,
20201230,学情,2301,サービス業,0.00%,TOPIX Small 2,
20201230,スタジオアリス,2305,サービス業,0.00%,TOPIX Small 2,
20201230,クロスキャット,2307,情報・通信業,0.00%,TOPIX Small 2,
20201230,シミックＨＤ,2309,サービス業,0.00%,TOPIX Small 2,
20201230,エプコ,2311,サービス業,0.00%,TOPIX Small 2,
20201230,システナ,2317,情報・通信業,0.03%,TOPIX Small 1,
20201230,ＮＪＳ,2325,サービス業,0.00%,TOPIX Small 2,○
20201230,デジアーツ,2326,情報・通信業,0.02%,TOPIX Small 1,
20201230,ＮＳＳＯＬ,2327,情報・通信業,0.02%,TOPIX Small 1,
20201230,ＡＬＳＯＫ,2331,サービス業,0.08%,TOPIX Mid400,
20201230,キューブシステム,2335,情報・通信業,0.00%,TOPIX Small 2,
20201230,いちご,2337,不動産業,0.02%,TOPIX Small 1,
20201230,エイジア,2352,情報・通信業,0.00%,TOPIX Small 2,
20201230,日駐,2353,不動産業,0.01%,TOPIX Small 1,
20201230,コア,2359,情報・通信業,0.00%,TOPIX Small 2,
20201230,カカクコム,2371,サービス業,0.08%,TOPIX Mid400,
20201230,アイロムＧ,2372,サービス業,0.00%,TOPIX Small 2,
20201230,セントケアＨＤ,2374,サービス業,0.00%,TOPIX Small 2,
20201230,サイネックス,2376,サービス業,0.00%,TOPIX Small 2,
20201230,ルネサンス,2378,サービス業,0.00%,TOPIX Small 2,
20201230,ディップ,2379,サービス業,0.01%,TOPIX Small 1,
20201230,ＳＢＳＨＤ,2384,陸運業,0.01%,TOPIX Small 1,
20201230,デジタルＨＤ,2389,サービス業,0.00%,TOPIX Small 2,
20201230,新日科学,2395,サービス業,0.00%,TOPIX Small 2,
20201230,ツクイＨＤ,2398,サービス業,0.00%,TOPIX Small 1,
20201230,キャリアＤＣ,2410,サービス業,0.00%,TOPIX Small 2,
20201230,ベネ・ワン,2412,サービス業,0.04%,TOPIX Mid400,
20201230,エムスリー,2413,サービス業,0.82%,TOPIX Large70,
20201230,ツカダグローバルＨＤ,2418,サービス業,0.00%,TOPIX Small 2,
20201230,ブラス,2424,サービス業,0.00%,TOPIX Small 2,
20201230,アウトソシング,2427,サービス業,0.03%,TOPIX Small 1,
20201230,ウェルネット,2428,サービス業,0.00%,TOPIX Small 2,
20201230,ワールドＨＤ,2429,サービス業,0.00%,TOPIX Small 2,
20201230,ディーエヌエー,2432,サービス業,0.03%,TOPIX Mid400,
20201230,博報堂ＤＹ,2433,サービス業,0.08%,TOPIX Mid400,
20201230,ぐるなび,2440,サービス業,0.00%,TOPIX Small 1,
20201230,タカミヤ,2445,サービス業,0.00%,TOPIX Small 2,
20201230,ＪＢＲ,2453,サービス業,0.00%,TOPIX Small 2,
20201230,ファンコミ,2461,サービス業,0.00%,TOPIX Small 1,
20201230,ライク,2462,サービス業,0.00%,TOPIX Small 2,
20201230,ＢＢＴ,2464,サービス業,0.00%,TOPIX Small 2,
20201230,エスプール,2471,サービス業,0.01%,TOPIX Small 1,
20201230,ＷＤＢ,2475,サービス業,0.00%,TOPIX Small 1,
20201230,手間いらず,2477,サービス業,0.00%,TOPIX Small 2,○
20201230,ティア,2485,サービス業,0.00%,TOPIX Small 2,
20201230,ＣＤＧ,2487,サービス業,0.00%,TOPIX Small 2,○
20201230,ＡＤＷＡＹＳ,2489,サービス業,0.00%,,
20201230,Ｖコマース,2491,サービス業,0.01%,TOPIX Small 1,
20201230,インフォマート,2492,サービス業,0.04%,TOPIX Mid400,
20201230,サッポロＨＤ,2501,食料品,0.03%,TOPIX Mid400,
20201230,アサヒ,2502,食料品,0.37%,TOPIX Large70,
20201230,キリンＨＤ,2503,食料品,0.41%,TOPIX Large70,
20201230,宝ＨＬＤ,2531,食料品,0.04%,TOPIX Mid400,
20201230,オエノンＨＤ,2533,食料品,0.00%,TOPIX Small 2,
20201230,養命酒,2540,食料品,0.00%,TOPIX Small 2,○
20201230,コカ・コーラＢＪＨ,2579,食料品,0.05%,TOPIX Mid400,
20201230,サントリーＢＦ,2587,食料品,0.10%,TOPIX Mid400,
20201230,ＤｙＤｏ,2590,食料品,0.01%,TOPIX Small 1,
20201230,伊藤園,2593,食料品,0.08%,TOPIX Mid400,
20201230,キーコーヒー,2594,食料品,0.01%,TOPIX Small 2,
20201230,ユニカフェ,2597,食料品,0.00%,TOPIX Small 2,
20201230,ジャパンＦ,2599,食料品,0.00%,TOPIX Small 2,
20201230,日清オイリオ,2602,食料品,0.02%,TOPIX Small 1,
20201230,不二製油Ｇ,2607,食料品,0.03%,TOPIX Mid400,
20201230,かどや製油,2612,食料品,0.00%,TOPIX Small 2,○
20201230,Ｊオイル,2613,食料品,0.01%,TOPIX Small 2,
20201230,ローソン,2651,小売業,0.05%,TOPIX Mid400,
20201230,サンエー,2659,小売業,0.01%,TOPIX Small 1,○
20201230,カワチ薬品,2664,小売業,0.01%,TOPIX Small 1,
20201230,ＡＢＣマート,2670,小売業,0.04%,TOPIX Mid400,
20201230,ハードオフ,2674,小売業,0.00%,TOPIX Small 2,
20201230,高千穂交,2676,卸売業,0.00%,TOPIX Small 2,
20201230,アスクル,2678,小売業,0.02%,TOPIX Small 1,
20201230,ゲオＨＤ,2681,小売業,0.01%,TOPIX Small 1,
20201230,アダストリア,2685,小売業,0.01%,TOPIX Small 1,
20201230,ジーフット,2686,小売業,0.00%,TOPIX Small 2,○
20201230,ＣＶＳベイ,2687,小売業,0.00%,TOPIX Small 2,
20201230,カワニシＨＤ,2689,卸売業,0.00%,TOPIX Small 2,○
20201230,伊藤忠食,2692,卸売業,0.01%,TOPIX Small 2,
20201230,くら寿司,2695,小売業,0.01%,TOPIX Small 1,
20201230,キャンドゥ,2698,小売業,0.00%,TOPIX Small 2,
20201230,エレマテック,2715,卸売業,0.00%,TOPIX Small 2,
20201230,アイケイ,2722,小売業,0.00%,,
20201230,パルグループＨＤ,2726,小売業,0.00%,TOPIX Small 1,
20201230,ＪＡＬＵＸ,2729,卸売業,0.00%,TOPIX Small 2,
20201230,エディオン,2730,小売業,0.02%,TOPIX Small 1,
20201230,あらた,2733,卸売業,0.02%,TOPIX Small 1,
20201230,サーラ,2734,小売業,0.00%,TOPIX Small 2,○
20201230,ワッツ,2735,小売業,0.00%,TOPIX Small 2,
20201230,トーメンデバ,2737,卸売業,0.00%,TOPIX Small 2,
20201230,ハローズ,2742,小売業,0.01%,TOPIX Small 2,○
20201230,ＪＰＨＤ,2749,サービス業,0.00%,TOPIX Small 2,
20201230,フジオフードＧ本社,2752,小売業,0.00%,TOPIX Small 2,○
20201230,あみやき,2753,小売業,0.00%,TOPIX Small 2,
20201230,東エレデバ,2760,卸売業,0.00%,TOPIX Small 2,
20201230,ひらまつ,2764,小売業,0.00%,TOPIX Small 2,
20201230,フィールズ,2767,卸売業,0.00%,TOPIX Small 2,
20201230,双日,2768,卸売業,0.05%,TOPIX Mid400,
20201230,アルフレッサＨＤ,2784,卸売業,0.08%,TOPIX Mid400,
20201230,大黒天,2791,小売業,0.01%,TOPIX Small 2,○
20201230,ハニーズＨＬＤ,2792,小売業,0.00%,TOPIX Small 2,
20201230,ファーマライズＨＤ,2796,小売業,0.00%,TOPIX Small 2,
20201230,キッコマン,2801,食料品,0.21%,TOPIX Mid400,
20201230,味の素,2802,食料品,0.21%,TOPIX Large70,
20201230,キユーピー,2809,食料品,0.05%,TOPIX Mid400,
20201230,ハウス食Ｇ,2810,食料品,0.06%,TOPIX Mid400,
20201230,カゴメ,2811,食料品,0.06%,TOPIX Mid400,
20201230,焼津水,2812,食料品,0.00%,TOPIX Small 2,
20201230,アリアケ,2815,食料品,0.03%,TOPIX Mid400,
20201230,ピエトロ,2818,食料品,0.00%,TOPIX Small 2,○
20201230,エバラ食品工業,2819,食料品,0.00%,TOPIX Small 2,○
20201230,やまみ,2820,食料品,0.00%,TOPIX Small 2,
20201230,ニチレイ,2871,食料品,0.06%,TOPIX Mid400,
20201230,ヨコレイ,2874,卸売業,0.01%,TOPIX Small 1,
20201230,東洋水産,2875,食料品,0.10%,TOPIX Mid400,
20201230,イートアンドＨＤ,2882,食料品,0.00%,TOPIX Small 2,
20201230,大冷,2883,食料品,0.00%,TOPIX Small 2,
