,trades,Total return,Average Gain,Average Loss,Max Return,Max Loss,Gain/Loss Ratio,Batting Average,Last Asset,Max Drawdown
FISV,39,116.91,7.025181947332868,-5.416289260640773,16.348563054460353,-8.854408313483908,1.297047038898686,0.6153846153846154,2.1690731401969168,0.24849822089082108
FOXA,7,-31.93,5.552372638374936,-7.038199531140312,5.552372638374936,-8.807286832103255,0.7888910528621166,0.14285714285714285,0.68071215474665,0.3954224203959372
FOX,8,-36.09,6.189771202261962,-6.988387634787327,6.189771202261962,-8.603567769157827,0.8857223619723166,0.125,0.6391188881860472,0.38633100827717015
GILD,28,134.28,13.49618145810091,-5.937784948965915,33.25937744996554,-9.472492984612435,2.27293200648018,0.5,2.342833043705629,0.3273238191784176
IDXX,39,226.89,11.381821721737616,-6.493467998097426,24.607490402716703,-18.585800015830824,1.7528109363243907,0.5641025641025641,3.268853161537183,0.2686273627689917
ILMN,37,282.61,18.390115034265932,-6.867906923044413,51.04381495767436,-23.1572440741454,2.6776884486538646,0.4594594594594595,3.826118573404294,0.5420673636296026
INCY,32,103.71,24.34150410650672,-7.3151541880186715,60.19558483783807,-21.21578271091368,3.327544913048467,0.34375,2.037074532157885,0.38785938846006573
INTC,36,-21.79,8.209368231169188,-6.504572134871599,17.19322324869619,-11.689265016875282,1.2620919656126224,0.4166666666666667,0.7821411798751469,0.45319800835833324
INTU,37,161.79,7.241289967241833,-5.165971545378832,20.74779767117367,-7.8834118486112885,1.4017285816681389,0.6486486486486487,2.6178992387941,0.20461536470502828
ISRG,42,-45.33,10.247981547577455,-6.6793291679465066,20.28237070712564,-18.3431039032357,1.5342830529683409,0.3333333333333333,0.5466845931290676,0.5956957574284907
JD,24,61.66,19.284023232498154,-6.901228658259367,34.97175679929276,-9.030206943379582,2.7942884068069676,0.375,1.6165673002243695,0.27685036530697016
KDP,35,114.0,7.535895485826811,-5.112144301649968,24.083360335132454,-6.454624811428866,1.4741163474971875,0.6,2.1399951205679137,0.2594929068064752
KLAC,36,196.75,13.49534075776021,-6.098470592551617,40.61417843616375,-9.719756360606347,2.212905769233811,0.5,2.967533786442534,0.3967799828024031
KHC,12,-12.43,7.970809210570695,-5.278141473012596,15.433052316684059,-8.24362350635578,1.5101545214969787,0.3333333333333333,0.8757348946633736,0.32153696841702073
LRCX,41,91.74,14.990839698948832,-6.549262405760998,49.659443670848916,-9.922210526512277,2.2889355732276475,0.4146341463414634,1.9174292596132014,0.5589527509966137
LULU,41,274.08,18.990170476711786,-6.260340686866287,43.4953939159505,-9.868227708884358,3.033408471930562,0.4146341463414634,3.7407607769729267,0.3834233119639694
MAR,35,79.63,10.55256389821362,-5.869244494793786,23.0786308651997,-15.301960710596552,1.7979424621983449,0.4857142857142857,1.7963451154957013,0.34849535911272256
MRVL,33,101.22,17.162542007351785,-6.413206742339446,37.81539579478264,-8.742824734195398,2.6761248618489315,0.3939393939393939,2.01221185546371,0.34337583074776523
MTCH,37,294.42,13.91561764382752,-6.3639147855616125,57.14739717992015,-12.727267554514565,2.1866442453627974,0.5405405405405406,3.9441975804159726,0.294721483015292
MXIM,33,45.29,10.521548140499789,-5.069333829509432,28.23461946228518,-11.692220671367526,2.075528756708054,0.42424242424242425,1.4529174827709321,0.4025706740131668
MELI,40,146.55,21.114609383154114,-6.2651516803223375,45.17190633617896,-9.72162309790906,3.3701673096712295,0.35,2.465530116624823,0.39652089399504786
MCHP,36,57.89,9.1825752669431,-5.8951243255787835,26.391459740909816,-7.728857340494444,1.5576559135657508,0.5,1.578872767028801,0.31374121542987854
MU,32,1027.49,26.72587901562927,-5.996843458902485,48.919010722807535,-11.457489215758498,4.456657773174642,0.46875,11.274921943671364,0.3538901716057127
MSFT,34,209.79,9.71964893177067,-5.891415427547212,21.403632437106033,-8.554382802868599,1.6497986012534982,0.6176470588235294,3.0978558047483418,0.17081435943271017
MRNA,11,113.82,65.9083694351019,-7.947533263280835,95.03011600011536,-13.373327082290986,8.292934078000217,0.2727272727272727,2.1382024361327385,0.4408360634028736
MDLZ,35,23.98,6.302620333261278,-5.672600814756498,13.31242323809021,-8.889386479654771,1.1110636089297647,0.5428571428571428,1.2397557562445471,0.35061079159108266
MNST,39,136.94,15.674431801216954,-6.063632870385765,27.72038538544688,-13.90041648395054,2.5849902420328683,0.41025641025641024,2.3693683350708454,0.30195648792095364
NTES,39,131.77,15.035910709105172,-5.795623240391152,26.768641298067486,-10.552554118734525,2.5943561348702135,0.41025641025641024,2.317678562674837,0.45511142249705683
NFLX,40,507.98,24.091517071791742,-6.148881774448124,68.42524959019387,-13.962612836238685,3.918032246432972,0.4,6.079830456596232,0.4370227279471407
NVDA,37,723.82,25.17814251610209,-5.943685606100036,80.79739375742447,-9.69642844037888,4.236116138151996,0.43243243243243246,8.238209942050958,0.412925788938558
NXPI,34,339.59,16.036889848612006,-5.593748348287491,110.65809854502984,-8.93470395504944,2.8669308753443747,0.5294117647058824,4.395907213616408,0.31417987083549626
ORLY,35,203.99,8.54258908462263,-6.005193153601849,20.65259795192944,-8.838050504092077,1.4225336081819249,0.6571428571428571,3.0399498415268034,0.2542866029257349
OKTA,18,88.45,35.191720763500385,-6.360958280188975,48.21224251611154,-8.958960119559812,5.532455836584246,0.2777777777777778,1.8845355410744506,0.39969160161890016
PCAR,32,11.05,9.033863558087114,-5.821897890139835,23.066475450513636,-7.910753107281254,1.5517042257623883,0.4375,1.110489960657256,0.2660248221470046
PAYX,31,189.58,7.874636461789607,-6.246823451269055,18.788399604462057,-9.356655385976731,1.2605825221761084,0.7096774193548387,2.8958224253560507,0.21340481588694515
PYPL,19,161.07,14.564515841028118,-6.013125460387722,37.57474060332373,-7.438872463827073,2.422120731884581,0.5789473684210527,2.6106814062329415,0.18212158907932496
PTON,5,113.57,36.39224012699286,-5.989897073130601,67.4467587410034,-6.026413366850325,6.075603584282053,0.6,2.1357388770705437,0.2669500292805922
PEP,33,2.93,4.951938795063621,-4.754498429346533,13.367707913541448,-7.558237969350168,1.041527065083966,0.5151515151515151,1.0292792787380096,0.19278448419966165
PDD,8,442.12,65.82675794685323,-4.920568335100919,109.59882211014627,-8.153703978535043,13.377876997922671,0.5,5.421227152303819,0.2511239514482374
QCOM,30,215.16,12.752270750732979,-6.189207831650915,34.555857393341526,-8.20653584105695,2.0604043518330886,0.5666666666666667,3.1516256002916463,0.2814158626383765
REGN,30,711.43,23.486047232951503,-5.949113607856143,82.33773736908468,-7.254428606731156,3.9478229499495257,0.5,8.1142511142513,0.37402521593270743
ROST,35,200.1,9.345548801474948,-6.162936390868138,25.08633511470615,-7.913739602549352,1.516411692212597,0.6285714285714286,3.000959125006042,0.2679756208327799
SGEN,36,-14.58,21.524369406599824,-7.688886942495499,34.859804743403004,-13.204818174063437,2.7994129147142712,0.2777777777777778,0.8542327529323749,0.5408883489004775
SIRI,33,87.74,10.930105447692616,-5.683370482406984,29.54544416246554,-9.302325926885512,1.9231731384619448,0.48484848484848486,1.8773714491360785,0.22223499571480476
SWKS,39,119.1,23.35155180445586,-6.99567601074851,43.81844859197721,-18.899759152546658,3.3379978959256196,0.3333333333333333,2.191035658297702,0.5615247696649468
SPLK,31,24.17,17.482051521385777,-6.297032070305009,31.819262582093756,-9.638471596205978,2.7762366978923456,0.3225806451612903,1.2417406671549434,0.6219370230912944
SBUX,34,238.95,11.161725806009034,-6.020384852386229,20.092887154249397,-8.808749450152275,1.853988753158362,0.5882352941176471,3.3895112330081445,0.22500664876467102
SNPS,38,122.24,7.6056313115605265,-6.382022411069491,23.420188557679044,-10.618043457271975,1.191727452784984,0.631578947368421,2.2224111852545176,0.22601374206552716
TMUS,35,215.6,13.624828250492302,-6.261248513474405,31.89755120212221,-8.151690990628646,2.176056136595,0.5142857142857142,3.1559722571569524,0.3166203600537346
TSLA,37,595.71,48.40177512720534,-7.435376714633914,163.41302444242788,-18.664110057359885,6.509660099930584,0.2972972972972973,6.95712886848434,0.5978610502807914
TXN,36,212.47,9.61309172246171,-5.830465366155262,28.678647356244902,-9.6742389321549,1.6487692008709756,0.6111111111111112,3.1247320558641807,0.24199439266011924
TCOM,29,0.0,26.021157405916266,-6.7062476573261485,56.934315559006855,-11.297171564024023,3.880136662935466,0.2413793103448276,1.0000249462839494,0.5505713340239766
VRSN,36,87.04,9.119925312494507,-5.770786331997617,19.210417614316967,-8.724386231753511,1.5803609400553824,0.5277777777777778,1.8704201155161202,0.3268608679292987
VRSK,36,36.81,8.059371524942526,-5.0119772769476985,16.380808627947708,-9.038543437104373,1.6080223591617508,0.4722222222222222,1.3680979608658679,0.2541000537583221
VRTX,32,16.51,19.220821341759674,-6.695991779647314,57.5843249607493,-9.866982102331779,2.8704965558921365,0.3125,1.165147478210052,0.48539409029008784
WBA,33,-8.83,11.160317408382957,-6.206093856190157,20.625347038231425,-12.205864884235051,1.7982836977644638,0.36363636363636365,0.9116562822278101,0.5740892887218481
WDAY,29,-36.16,9.937683835908775,-6.994282935357781,17.875736598392944,-11.043610622123412,1.420829544322749,0.3448275862068966,0.6384499211631343,0.657769077406912
XEL,33,30.75,5.269590734888117,-5.5552556452421475,12.570766308539994,-8.89095881846169,0.9485775401535856,0.6060606060606061,1.3074537795689083,0.21680369635267016
XLNX,34,31.29,10.308793514404673,-6.7479146053322,26.81442067553881,-14.16505967298065,1.527700647879964,0.47058823529411764,1.3128996218290871,0.3882643473796714
ZM,6,331.68,73.95268909253457,-5.820949910053938,92.89298342908808,-6.5420537993194365,12.704574036069882,0.5,4.316825273917438,0.28710201967614957
