,trades,Total return,Average Gain,Average Loss,勝率,Average gain and profit,average holding period
6976.T,4,83.39,46.17,-6.0,0.5,20.0855313780446,45.333333333333336
4477.T,1,-6.28,0.0,-6.28,0.0,-6.278481012658233,45.333333333333336
6036.T,6,104.24,45.96,-6.61,0.5,19.67399778337928,49.75
