,trades,Total return,Average Gain,Average Loss,勝率,Average gain and profit,average holding period
PTON,4,-4.53,6.6,-8.27,0.5,-0.832924258967934,18.5
PEP,4,0.66,5.0,-1.38,0.25,0.2173129450793121,114.0
PDD,5,31.45,12.83,-3.86,0.6,6.15269930404658,4.0
QUALCOMM,0,0.0,0.0,0.0,0.0,0.0,4.0
QCOM,5,54.87,41.29,-6.0,0.4,12.916816921466474,55.4
REGN,5,0.53,4.72,-6.44,0.6,0.2578233056776913,54.0
ROST,4,1.64,8.87,-2.23,0.25,0.5479025510049806,16.0
SGEN,3,20.36,36.21,-6.0,0.3333333333333333,8.07091199428827,77.0
SIRI,3,3.4,10.0,-3.0,0.3333333333333333,1.333333333333334,94.0
SWKS,5,33.81,9.78,-7.4,0.8,6.34337438652016,68.0
SPLK,8,-20.5,4.7,-5.19,0.25,-2.7189509044259985,17.0
SBUX,4,13.52,10.0,-3.1,0.5,3.4522603009445985,95.33333333333333
SNPS,4,63.97,22.86,-6.0,0.75,15.6451598192111,115.66666666666667
TMUS,6,3.32,4.84,-1.5,0.3333333333333333,0.6136079677165192,53.6
TSLA,5,230.36,54.8,-0.33,0.6,32.74827866565786,39.0
TXN,6,1.3,10.91,-4.6,0.3333333333333333,0.568127140564894,41.25
TCOM,4,-22.36,0.0,-6.13,0.0,-6.12969959956515,11.0
VRSN,4,-7.22,5.0,-4.0,0.25,-1.7500000000000042,34.0
VRSK,6,-3.86,5.0,-3.31,0.3333333333333333,-0.5382724812085946,76.6
VRTX,4,-10.38,8.13,-6.07,0.25,-2.5185351215483953,20.0
WBA,4,-4.67,7.89,-4.0,0.25,-1.0280580855528938,21.75
WDAY,6,-16.11,5.0,-4.36,0.16666666666666666,-2.800644810777289,25.0
XEL,3,3.4,10.0,-3.0,0.3333333333333333,1.3333333333333304,130.33333333333334
XLNX,4,-3.46,6.66,-7.85,0.5,-0.5959704181942747,48.0
ZM,2,41.73,42.94,-0.85,0.5,21.044822182398242,48.0
