,trades,Total return,Average Gain,Average Loss,Max Return,Max Loss,Gain/Loss Ratio,Batting Average
MCHP,15,27.52,11.626677731210151,-8.34806811386587,26.619080957275564,-13.2817336833018,1.3927387238130722,0.5333333333333333
MELI,10,299.38,56.205061899162025,-14.830730832357863,81.82549621201503,-18.724226854316417,3.789770209876182,0.5
MNST,11,32.31,16.362092077157296,-6.876974615929043,35.450089829969265,-14.40443202319569,2.3792573029509234,0.45454545454545453
MSFT,11,197.05,19.785114652111904,-2.5499361000099836,57.32906476868054,-6.206511303460505,7.759062923982464,0.6363636363636364
MU,11,154.95,17.4355115669166,-8.728337661616111,46.611055223211494,-11.687038870864509,1.9975752821286128,0.7272727272727273
MXIM,16,-7.42,8.489084169053502,-6.714462090877372,18.392286411866166,-16.009816365988282,1.2642984730805507,0.4375
MELI,10,299.38,56.205061899162025,-14.830730832357863,81.82549621201503,-18.724226854316417,3.789770209876182,0.5
MYL,15,-58.4,4.631994247477772,-9.077807444536877,11.11110992781894,-14.398316722295156,0.5102547367057623,0.26666666666666666
NTAP,13,93.79,19.797555995409564,-5.135315301654131,41.39128371233846,-12.104550071752229,3.8551782767910265,0.46153846153846156
NFLX,12,106.4,25.252158572353693,-8.087486570083884,64.58841145586536,-13.32816564849616,3.122374096516339,0.5
NTES,11,123.12,22.37538992555498,-7.074149403957854,48.0656702520968,-17.596073133847167,3.1629795538437975,0.5454545454545454
NVDA,11,911.46,53.89960349699437,-3.5583573860844764,207.90300904738888,-5.062359963969509,15.147327164993982,0.6363636363636364
NXPI,10,1.23,12.332336448458998,-4.514013084713301,21.573422472000956,-12.768913454320819,2.7320116749821657,0.3
ORLY,11,73.96,15.980539058771495,-2.6820889608791476,29.7953563693093,-7.035013744039221,5.958243478073642,0.45454545454545453
PAYX,12,73.89,11.34182299175478,-3.559929852211834,23.785635674970386,-6.681103054322746,3.1859681124637746,0.5833333333333334
PCAR,13,36.17,12.655777454289767,-3.454497860787746,20.651153416411038,-8.092567227867375,3.663564999691101,0.38461538461538464
PYPL,13,169.19,25.9427859676179,-7.224346320519413,78.3430351831905,-16.13871743409482,3.5910219162572865,0.5384615384615384
PEP,17,6.4,6.7312517851957425,-2.866139818644592,15.375690948517873,-5.211739466367593,2.3485427128879484,0.35294117647058826
QCOM,12,102.54,21.739477955619332,-3.5930959565832064,37.57370047157218,-7.2711262140880635,6.0503471708816035,0.4166666666666667
REGN,10,52.83,13.750646789013544,-3.64857528744336,39.82086903569964,-6.485989806731906,3.768771563063712,0.5
ROST,12,15.55,17.252577248704913,-5.540474824685099,31.789617799689452,-19.66409968522519,3.113916729995337,0.3333333333333333
SBUX,11,50.2,10.210041449028454,-2.763655549245219,34.055014293541255,-3.775572629265689,3.694397245639716,0.5454545454545454
SNPS,12,76.12,19.550587687487244,-4.281941814336135,33.24604551381203,-9.22977830847228,4.565822828799539,0.4166666666666667
SIRI,15,8.74,8.359722781049372,-4.173304063952111,19.832688883092775,-10.769231919237965,2.0031425108125793,0.4
SWKS,12,86.88,25.822715446870546,-6.650675015212664,43.84241416684751,-10.386005584834713,3.8827209851336923,0.4166666666666667
TMUS,16,117.31,15.426908658350328,-4.083096439734322,34.2555475045434,-7.848423635470015,3.7782376404888742,0.5
TTWO,10,274.41,34.82548874003711,-5.5540988071883035,125.15528305962418,-11.834205364551309,6.270232120279311,0.6
TSLA,15,284.66,49.516889596433664,-7.008662905320957,165.5632322554982,-14.012432719127421,7.065097903173597,0.4
TXN,13,68.33,14.210755990420376,-3.5130551001020054,28.90238652956767,-6.194759115449733,4.045127555786913,0.46153846153846156
KHC,12,-21.26,11.153699591130023,-9.661311951260279,14.852873940991419,-31.822994352004752,1.1544704950423497,0.4166666666666667
ULTA,13,-15.25,11.507693615416148,-8.110841841892432,23.70552027894588,-21.680476021249383,1.4188038479531193,0.38461538461538464
UAL,17,-38.99,14.158160163940291,-12.19420153188942,54.49402591868229,-33.415487608657955,1.1610567634883568,0.4117647058823529
VRSN,12,52.76,23.22445027549753,-4.71202712963435,40.79449857864872,-10.896601166276266,4.92875988116387,0.3333333333333333
VRSK,13,78.7,12.61165564647776,-3.471660071288985,30.876518903668583,-9.811250284058314,3.6327449656657214,0.5384615384615384
VRTX,13,48.7,15.881497680270234,-5.126966929230022,71.24870140059683,-10.755377888871609,3.09763996910652,0.46153846153846156
WBA,14,-33.27,5.696059072121196,-4.117964556113041,7.906984108153248,-14.317775679966793,1.383221976416845,0.14285714285714285
WDC,11,15.52,17.612901152014338,-6.016885818879641,56.22562302255729,-10.813899420576444,2.927245369481501,0.36363636363636365
WLTW,14,4.2,9.65214761836324,-5.962042111154763,25.851745829499006,-12.135952756127333,1.6189331504895654,0.42857142857142855
WDAY,14,29.03,12.334644573380471,-7.077065830387331,28.334356131531322,-21.41050865230888,1.7429037498023938,0.5
XEL,15,24.79,6.377709055805075,-2.4936534823370344,15.22609177366341,-7.426769790574673,2.557576303596092,0.4666666666666667
